id,fecha,entrada (texto),página,categoría,término (lema),detectado,cita / contexto,Nivel (Rostagno),Tipo,Intención simbólica,Postura del testigo,¿Ruido?,Subtipo rumor,señal evaluativa (auto),notas
110,1606-05-31,el 31 de mayo de 1606,210,Sonido y ruido,campana,Campaña,"César Campaña de la Historia del mundo, en dos cuerpos de a",,,,,,,,
111,1603-04-21,a 21 de Abril de 1603,213,Música,copla,Coplas,Coplas de Florando de Castilla,,,,,,,,
112,1565-11-24,el 24 de noviembre,238,Música,salve,salve,Que Dios salve a S,,,,,,,,
113,1565-12-08,El 8 de diciembre,245,Sonido y ruido,pólvora,pólvora,"artificales por descuido del maestro armero, alcanzando a varios oficiales de la pólvora del mantenedor que quedaron muertos",,,,,,,,
114,1565-12-08,El 8 de diciembre,247,Voz y rumor,rumor,rumor,"el rumor que por el mundo se ha divulgado…» (Madrid, 8-XII-1562, AGS, E-651, 99)",,,,,,,,
115,1565-07-25,El 25 de julio,250,Sonido y ruido,aclam*,aclamado,"Maximiliano de Austria, Rey de Romanos, es aclamado como Maximiliano",,,,,,,,
116,1565-08-02,El 2 de agosto,252,Sonido y ruido,campana,campaña,Dicho hermano estuvo un año en la campaña,,,,,,,,
117,1565-01-13,El 13 de enero de 1565,254,Sonido y ruido,campana,campaña,"manifestada su habilidad marcial con esta campaña victoriosa, escribía sobre él Chantonay que",,,,,,,,
118,1568-12-17,el día 17 de diciembre,256,Sonido y ruido,silencio,silencios,"Los silencios de Hans sobre la traslación del cadáver de Fernando a Praga son, cuando menos, extraños",,,,,,,,
119,1565-06-03,El 3 de junio,261,Música,copla,copla,Al parecer le van con la copla al,,,,,,,,
120,1565-06-03,El 3 de junio,262,Sonido y ruido,campana,campaña,Permanecí varios días en Carintia antes de partir a la campaña,,,,,,,,
121,1565-06-03,El 3 de junio,262,Sonido y ruido,campana,campana,"notificar por su predicador y todos los otros, que cada día al son de una campana todos hayan de",,,,,,,,
122,1565-06-03,El 3 de junio,262,Música,misa,misa,"infieles, y que cada viernes haya en todas las iglesias procesiones y una misa solemne del Espíritu",,,,,,,⟨cand. evaluativa: solemne⟩,
123,1565-06-03,El 3 de junio,263,Sonido y ruido,campana,campaña,Ese mismo mes también partió desde Viena a la campaña para parti- 1566,,,,,,,,
124,1565-09-01,El 1 de septiembre,263,Sonido y ruido,campana,campaña,"En general, Chantonay es muy poco optimista de los logros de la campaña de ese año",,,,,,,⟨cand. magnitud: poco⟩,
125,1565-09-07,el 7 de septiembre,265,Sonido y ruido,disparó,disparos,"El mencionado conde de Serin se defendió hasta que lo alcanzaron dos disparos de los jenízaros, y murió como fiel señor y sirviente",,,,,,,,
126,1565-09-29,El 29 de septiembre,266,Sonido y ruido,disparó,disparos,"como resultado de la disputa y los disparos, hubo dos muertes",,,,,,,,
127,1565-10-06,El 6 de octubre,267,Voz y rumor,rumor,rumores,Los rumores iban por doquier,,,,,,,,
128,1566-05-10,10 de mayo de 1566,268,Metáfora musical (candidatas),concierto,concierto,"día cuanto fuera mejor el concierto, y parece que le pesa que en ello no haya podido hacer la buena",,,,,,,⟨cand. evaluativa: mejor⟩,
129,1566-11-25,el 25 de noviembre,270,Música,misa,misa,echando pedrezuelas sobre los altares mientras se celebra la misa y a los clérigos revestidos que,,,,,,,,
130,1566-10-16,16 de octubre,272,Metáfora musical (candidatas),concierto,conciertos,invitado en varias ocasiones a buenos conciertos de música,,,,,,,⟨cand. evaluativa: buenos⟩,
131,1566-10-16,16 de octubre,272,Música,música,música,invitado en varias ocasiones a buenos conciertos de música,,,,,,,⟨cand. evaluativa: buenos⟩,
132,1567-04-13,el 13 de abril,277,Sonido y ruido,campanario,campanarios,"sólo en los campos hanegados, sino en las aldeas inundadas, «aparesecen dentro del agua los campanarios y tejados, como las tierras perdidas por las inundaciones en Holanda y toda la recolta que",,,,,,,,
133,1567-05-17,El 17 de mayo,278,Voz y rumor,rumor,rumor,En la misma relación se transmitía el rumor de que el de Sajonia iba a ser encarcelado en Neustadt cerca de,,,,,,,,
134,1567-07-15,El 15 de julio,280,Sonido y ruido,arcabuz,arcabuz,paje que le sigue ordinariamente con un arcabuz y tiene mando expresamente que si en un asalto,,,,,,,,
135,1567-07-15,El 15 de julio,280,Sonido y ruido,arcabuz,arcabuz,"o en otra parte le viere en peligro se ser preso, le tire luego con aquel arcabuz y porque no venga",,,,,,,,
136,1567-07-15,El 15 de julio,280,Sonido y ruido,artillería,artillería,artillería de lo que tenían dentro de Gotha,,,,,,,,
137,1567-09-01,El 1 de septiembre,283,Metáfora musical (candidatas),desconcierto,desconcierto,Emperador ha estado malo de cámaras y desconcierto de estómago desde los primeros días de este,,,,,,,⟨cand. evaluativa: malo⟩,
138,1568-12-01,El 1 de diciembre,285,Sonido y ruido,pólvora,pólvora,"Las buenas noticias, entre tanta desazón, corrían como la pólvora",,,,,,,,
139,1568-01-15,el 15 de enero,288,Voz y rumor,rumor,rumores,Entre el pueblo circulaban todo tipo de rumores acerca,,,,,,,,
140,1568-02-27,el 27 de febrero de 1568,288,Voz y rumor,rumor,rumores,"Pero como no estaba claro el por qué de la detención, corrieron rumores aprovechados",,,,,,,,
141,1568-03-05,5 de marzo de 1568,289,Sonido y ruido,salva,Salvá,de 1568 fueron copiadas respectivamente en 1852 y 1855 para Salvá y Gachard respectivamente,,,,,,,,
142,1568-09-01,el 1 de septiembre,292,Voz y rumor,rumor,rumores,"A mediados de octubre de 1567 ya le han llegado a Maximiliano II todo tipo de noticias, rumores",,,,,,,⟨cand. magnitud: muchas⟩,
143,1568-07-06,el día 6 de julio,293,Música,misa,misa,"Como botón de muestra, la habida el 29-IX-1567 a la salida de misa, que transcribió para Felipe II",,,,,,,,
144,1568-08-11,a 11 de agosto de 1568,298,Metáfora musical (candidatas),desconcierto,desconcierto,acontecimientos de los Países Bajos para eliminar el desconcierto de,,,,,,,,
145,1568-08-11,a 11 de agosto de 1568,298,Metáfora musical (candidatas),desconcierto,desconcierto,"Desde luego, la noticia y el protocolo, o el a quién mandar a España, sembró de desconcierto la Corte de Viena",,,,,,,,
146,1568-10-24,El 24 de octubre,299,Sonido y ruido,campana,campaña,"Y en vista de mi debilidad, el duque, que tengo en mi más alta consideración, a mi marcha me ofreció su silla de mano y su tienda de campaña",,,,,,,,
147,1568-04-05,el 5 de abril,306,Sonido y ruido,disparó,disparo,muerto de un disparo en Francia y que también habían perecido muchos,,,,,,,,
148,1605-03-07,el 7 de marzo,316,Música,músic*,músicos,"Recuérdese la pléyade de embajadores imperiales (Salinas, Guzmán) o secretarios (Gamiz, Castillejo), músicos u otros oficiales áulicos (don Diego Manrique era maestresala de la",,,,,,,,
149,1605-03-07,el 7 de marzo,317,Voz y rumor,rumor,rumores,Le llegan rumores,,,,,,,,
150,1570-10-04,el 4 de octubre,324,Sonido y ruido,tiro,tiro,1570 cios de tiro en los que también se ejercitaron S,,,,,,,,
151,1570-12-03,El 3 de diciembre,339,Música,trompeta,trompetas,"hogueras y se compren para ello manojos de sarmientos y las demás hachas y velas que parece fueren necesarias y se concierten trompetas, atabales, atento que esta Villa tiene ningunos, y más música de ministriles y chirimías, y se concierte luego",,,,,,,,
152,1570-12-03,El 3 de diciembre,339,Música,atabal,atabales,"hogueras y se compren para ello manojos de sarmientos y las demás hachas y velas que parece fueren necesarias y se concierten trompetas, atabales, atento que esta Villa tiene ningunos, y más música de ministriles y chirimías, y se concierte luego",,,,,,,,
153,1570-12-03,El 3 de diciembre,339,Música,música,música,"hogueras y se compren para ello manojos de sarmientos y las demás hachas y velas que parece fueren necesarias y se concierten trompetas, atabales, atento que esta Villa tiene ningunos, y más música de ministriles y chirimías, y se concierte luego",,,,,,,,
154,1570-12-03,El 3 de diciembre,339,Música,ministril,ministriles,"hogueras y se compren para ello manojos de sarmientos y las demás hachas y velas que parece fueren necesarias y se concierten trompetas, atabales, atento que esta Villa tiene ningunos, y más música de ministriles y chirimías, y se concierte luego",,,,,,,,
155,1570-12-03,El 3 de diciembre,339,Música,chirimía,chirimías,"hogueras y se compren para ello manojos de sarmientos y las demás hachas y velas que parece fueren necesarias y se concierten trompetas, atabales, atento que esta Villa tiene ningunos, y más música de ministriles y chirimías, y se concierte luego",,,,,,,,
156,1570-12-03,El 3 de diciembre,339,Música,trompeta,trompetas,trompetas y atabales al señor Miguel de Cereceda y al señor Velázquez de la Canal y lo de los ministriles y chirimías»,,,,,,,,
157,1570-12-03,El 3 de diciembre,339,Música,atabal,atabales,trompetas y atabales al señor Miguel de Cereceda y al señor Velázquez de la Canal y lo de los ministriles y chirimías»,,,,,,,,
158,1570-12-03,El 3 de diciembre,339,Música,ministril,ministriles,trompetas y atabales al señor Miguel de Cereceda y al señor Velázquez de la Canal y lo de los ministriles y chirimías»,,,,,,,,
159,1570-12-03,El 3 de diciembre,339,Música,chirimía,chirimías,trompetas y atabales al señor Miguel de Cereceda y al señor Velázquez de la Canal y lo de los ministriles y chirimías»,,,,,,,,
160,1570-12-03,El 3 de diciembre,340,Sonido y ruido,pregonar,pregonar,Villa pusiese premios y lo hiciese pregonar y les diesen música y hachas y que de aquí al día que se,,,,,,,,
161,1570-12-03,El 3 de diciembre,340,Música,música,música,Villa pusiese premios y lo hiciese pregonar y les diesen música y hachas y que de aquí al día que se,,,,,,,,
162,1570-12-03,El 3 de diciembre,340,Música,música,música,El que mejor invención sacare en coche o carros triunfales con música le darán 6 varas de terciopelo morado,,,,,,,,
163,1570-12-03,El 3 de diciembre,340,Sonido y ruido,pregonar,pregonar,"día de fiesta pasado el bautismo del príncipe nuestro señor, y así se mandó pregonar luego porque",,,,,,,,
164,1570-12-03,El 3 de diciembre,340,Música,trompeta,trompetas,acordó que el señor Velázquez de la Canal tenga las trompetas y atabales»,,,,,,,,
165,1570-12-03,El 3 de diciembre,340,Música,atabal,atabales,acordó que el señor Velázquez de la Canal tenga las trompetas y atabales»,,,,,,,,
166,1570-12-03,El 3 de diciembre,340,Metáfora musical (candidatas),concertar,concertar,"resta por hacer el juego de cañas, el cual él no puede concertar",,,,,,,,
167,1570-12-03,El 3 de diciembre,340,Música,tañendo,tañendo,"las ninfas con sus instrumentos tañendo, muy bien aderezadas con otro género de insignias, como",,,,,,,,
168,1570-12-03,El 3 de diciembre,340,Música,ministril,ministriles,"y el otro carro con instrumentos de fuego y en él los ministriles, según que al señor don Pedro de Ribera le pareciere, lo cual se pague de sobras de rentas por",,,,,,,,
169,1570-12-03,El 3 de diciembre,341,Música,atabal,atabales,Juan y que a principio de la máscara entren atabales y trompetas y ministriles y luego la cuadrilla,,,,,,,,
170,1570-12-03,El 3 de diciembre,341,Música,trompeta,trompetas,Juan y que a principio de la máscara entren atabales y trompetas y ministriles y luego la cuadrilla,,,,,,,,
171,1570-12-03,El 3 de diciembre,341,Música,ministril,ministriles,Juan y que a principio de la máscara entren atabales y trompetas y ministriles y luego la cuadrilla,,,,,,,,
172,1570-01-01,el 1 de enero,342,Música,trompeta,trompetas,que los trompetas y atabales vayan delante y el carro del fuego luego y tras él,,,,,,,,
173,1570-01-01,el 1 de enero,342,Música,atabal,atabales,que los trompetas y atabales vayan delante y el carro del fuego luego y tras él,,,,,,,,
174,1570-01-01,el 1 de enero,342,Música,trompeta,trompetas,hagan alto los carros y trompetas y atabales vayan delante de los caballeros de la mascarada,,,,,,,,
175,1570-01-01,el 1 de enero,342,Música,atabal,atabales,hagan alto los carros y trompetas y atabales vayan delante de los caballeros de la mascarada,,,,,,,,
176,1570-01-01,el 1 de enero,342,Música,música,música,de la máscara y jueguen sus alcancías y todo el tiempo que esto durare toque el carro de la música ministriles y […] arcos y música y hase de hacer desde la plaza de San Salvador y desde […],,,,,,,,
177,1570-01-01,el 1 de enero,342,Música,ministril,ministriles,de la máscara y jueguen sus alcancías y todo el tiempo que esto durare toque el carro de la música ministriles y […] arcos y música y hase de hacer desde la plaza de San Salvador y desde […],,,,,,,,
178,1570-01-01,el 1 de enero,342,Música,música,música,de la máscara y jueguen sus alcancías y todo el tiempo que esto durare toque el carro de la música ministriles y […] arcos y música y hase de hacer desde la plaza de San Salvador y desde […],,,,,,,,
179,1570-03-01,El 1 de marzo,344,Voz y rumor,rumor,rumores,rumores de que va a ser un viaje lento porque parará a casarse en Barcelona y tal vez no llegue a,,,,,,,,
180,1575-06-01,El 1 de junio,361,Música,misa,misa,vísperas y la misa,,,,,,,,
181,1576-03-08,el 8 de marzo de 1576,370,Música,misa,misa,le dio cédula de paso el 8 de marzo de 1576 para «dos corporales de lienzo para cálices de misa con,,,,,,,,
182,1576-05-10,el 10 de mayo de 1576,372,Música,romance,romance,"ballestas completas, porcelanas, lacre, «un cofre lleno de libros en romance» (y se acabó la fábula de",,,,,,,,
183,1577-07-01,El 1 de julio,377,Sonido y ruido,campana,campanas,"El 21 llegó el fuego a El Escorial produciendo graves daños, quemándose 11 campanas muy grandes hasta el punto que no quedó rastro de",,,,,,,⟨cand. evaluativa: graves⟩,
184,1578-03-02,El 2 de marzo,381,Música,misa,misa,"tomé la comunión, el 27 asistí a misa e hice las procesiones, el 28 envié",,,,,,,,
185,1578-06-04,El 4 de junio,383,Metáfora musical (candidatas),concierto,concierto,"concierto y con tanta frecuencia [léase, afluencia de gentes] como se hizo jamás en tiempo del Emperador Ferdinando»",,,,,,,,
186,1578-06-04,El 4 de junio,383,Voz y rumor,rumor,rumor,"Lástima que «a la postre se movió un rumor que lo desbarató todo, aunque cesó",,,,,,,,
187,1578-06-04,El 4 de junio,383,Voz y rumor,rumor,rumor,«un rumor» desbarataba una buena procesión,,,,,,,⟨cand. evaluativa: buena⟩,
188,1578-07-01,El 1 de julio,384,Metáfora musical (candidatas),concierto,concierto,"Aunque Hans no lo señale, «El Emperador despacha de nuevo otro correo a España intercediendo por el concierto [entre don Juan y los rebeldes]",,,,,,,,
189,1578-08-03,El 3 de agosto,385,Metáfora musical (candidatas),concierto,concierto,"tomado para en aquel gobierno, pero con todo esto tengo esperanza que le echaremos cuando estuviere» el concierto preparado",,,,,,,,
190,1578-09-01,El 1 de septiembre,386,Metáfora musical (candidatas),concierto,concierto,en persona a tratar de concierto con los Estados,,,,,,,,
191,1578-09-01,El 1 de septiembre,386,Metáfora musical (candidatas),concierto,concierto,Aunque el ir el Emperador en persona tengo por cierto que no podrá ir mucho a facilitar este concierto,,,,,,,⟨cand. magnitud: mucho⟩,
192,1578-09-01,El 1 de septiembre,388,Sonido y ruido,artillería,artillería,"Por su parte, Parma se había aprovisionado de artillería nueva",,,,,,,,
193,1578-09-01,El 1 de septiembre,388,Sonido y ruido,clamor,clamor,En el otoño de 1579 era un clamor la ayuda que hacía el de Orange «para ganar las voluntades de,,,,,,,,
194,1578-09-01,El 1 de septiembre,388,Metáfora musical (candidatas),concierto,concierto,A finales de octubre «Terranova se confirma cada día más en que no se hará el concierto general,,,,,,,,
195,1580-11-01,El 1 de noviembre,403,Sonido y ruido,campana,campaña,La campaña de la Isla Tercera y las opiniones de Hans,,,,,,,,
196,1582-01-02,El 2 de enero de 1582,411,Música,misa,misa,"haberme dicho primero la misa y haberme dado su bendición, que Dios",,,,,,,,
197,1582-02-03,el día 3 de febrero,412,Música,misa,misa,fue a la misa que se celebraba en la catedral de Nuestra Señora del Pilar,,,,,,,,
198,1582-03-05,El 5 de marzo,414,Música,coro,coro,en el coro de las monjas escuchamos las vísperas,,,,,,,,
199,1582-03-18,el 18 de marzo,414,Sonido y ruido,disparó,disparo,"de Orange había recibido un disparo de un vizcaíno en Amberes y durante un largo tiempo se le tuvo por muerto, pero a pesar de la herida",,,,,,,,
200,1582-03-18,el 18 de marzo,414,Sonido y ruido,disparó,disparo,El disparo lo efectuó un Juan de Jáuregui el 18-III-1582 en Amberes,,,,,,,,
201,1582-03-18,el 18 de marzo,414,Sonido y ruido,disparar,disparar,"sabe, poco después, cuando el francés católico Balthasar Gérard volvió a disparar contra él el 10VII-1584 en el Prinsenhof de Delft",,,,,,,,
202,1582-05-01,El 1 de mayo,416,Sonido y ruido,salva,salva,recibidos dignamente con los salva de la artillería,,,,,,,,
203,1582-05-01,El 1 de mayo,416,Sonido y ruido,artillería,artillería,recibidos dignamente con los salva de la artillería,,,,,,,,
204,1582-10-04,El 4 de octubre,418,Sonido y ruido,artillería,artillería,la nave conquistada de Felipe Strozzi junto con la artillería en el puerto,,,,,,,,
205,1582-11-01,El 1 de noviembre,419,Música,misa,misa,El 1 de noviembre acompañé al rey en la misa y después mantuve 1582,,,,,,,,
206,1582-12-02,El 2 de diciembre,420,Música,misa,misa,el 25 estuve con él en la misa,,,,,,,⟨cand. magnitud: muchas⟩,
207,1582-03-14,el 14 de marzo,421,Música,misa,misa,Hans acompaña a misa,,,,,,,,
208,1583-01-01,El 1 de enero de 1583,421,Música,misa,misa,El 1 de enero de 1583 acompañé al rey a la misa,,,,,,,,
209,1583-02-01,El 1 de febrero,422,Música,misa,misa,en la misa y asistí a la procesión de la Candelaria,,,,,,,,
210,1583-03-28,Lunes 28 de marzo,424,Metáfora musical (candidatas),concertó,concertó,se concertó»,,,,,,,,
211,1583-05-01,El 1 de mayo,425,Música,misa,misa,El domingo día 22 acompañé al rey a la misa,,,,,,,,
212,1583-07-03,El 3 de julio,426,Música,misa,misa,"acompañé al rey a la misa, por la tarde S",,,,,,,,
213,1583-07-03,El 3 de julio,426,Música,misa,misa,"lugar en ello, y tampoco en la misa, porque las iglesias las ocupan los",,,,,,,,
214,1583-08-01,El 1 de agosto,427,Música,misa,misa,"El 24, día de San Bartolomé, acompañé al rey a misa",,,,,,,,
215,1583-09-01,El 1 de septiembre,427,Música,misa,misa,"a misa, el 12 escribí de ordinario a S",,,,,,,,
216,1610-12-01,El 1 de diciembre,429,Música,misa,misa,misa,,,,,,,,
217,1610-12-01,El 1 de diciembre,429,Música,misa,misa,"misa, por la tarde visité a la Emperatriz",,,,,,,,
218,1610-12-01,El 1 de diciembre,430,Música,misa,misa,Ese día se celebró la misa correspondiente y después,,,,,,,,
219,1610-12-01,El 1 de diciembre,430,Sonido y ruido,silencio,silencio,Sigue causando extrañeza el silencio de Rodolfo,,,,,,,,
220,1582-07-23,El 23 de julio de 1582,432,Música,misa,misa,El 29 acompañé al rey a misa y traté con él,,,,,,,,
221,1582-02-02,El 2 de febrero,433,Música,misa,misa,rey a misa,,,,,,,,
222,1582-02-02,El 2 de febrero,433,Música,misa,misa,El 26 volví a acompañar al rey a misa y este,,,,,,,,
223,1582-03-01,El 1 de marzo,433,Música,misa,misa,una vez más al rey a misa y por la tarde visité a la Emperatriz,,,,,,,,
224,1582-03-01,El 1 de marzo,433,Música,misa,misa,"El 11 acompañé al rey a misa, el 12 volví a tener",,,,,,,,
225,1582-06-01,El 1 de junio,435,Música,misa,misa,a la misa en el convento de,,,,,,,,
226,1582-07-01,El 1 de julio,436,Sonido y ruido,tiro,tiro,Ese día murió el príncipe de Orange por el tiro de un,,,,,,,,
227,1584-11-01,El 1 de noviembre,438,Música,misa,misa,El 18 el rey fue a la misa a la Iglesia de la Merced,,,,,,,,
228,1584-11-01,El 1 de noviembre,439,Música,misa,misa,El 25 acompañaron al rey a la misa en los teati- 1584,,,,,,,,
229,1584-12-01,El 1 de diciembre,439,Música,cantó,canto,La cédula es un canto a la globalización,,,,,,,,
230,1584-12-01,El 1 de diciembre,440,Sonido y ruido,silencio,silencios,Rodolfo escribe a Hans explicándole sus silencios,,,,,,,,
231,1584-01-01,El 1 de enero,441,Sonido y ruido,silencio,silencio,Me requería que lo excusara ante la Emperatriz por su largo silencio y por no haberle escrito,,,,,,,,
232,1584-01-01,El 1 de enero,442,Metáfora musical (candidatas),concierto,concierto,El 28 «otorgó la Emperatriz la scriptura del concierto entre su Magestad y el,,,,,,,,
233,1584-01-01,El 1 de enero,443,Música,cantó,cantó,"El citado cardenal cantó la misa, yo asistí como embajador",,,,,,,,
234,1584-01-01,El 1 de enero,443,Música,misa,misa,"El citado cardenal cantó la misa, yo asistí como embajador",,,,,,,,
235,1584-07-08,el 8 de julio,446,Sonido y ruido,arcabuces,arcabuces,"las fiestas (entrega de arcabuces, bandera y tambores) del Santísimo Sacramento y sobre volver a",,,,,,,,
236,1584-07-08,el 8 de julio,446,Música,tambor,tambores,"las fiestas (entrega de arcabuces, bandera y tambores) del Santísimo Sacramento y sobre volver a",,,,,,,,
237,1585-10-04,El 4 de octubre,448,Música,cantor,cantores,le envié al Emperador al abad Flecha con tres niños cantores castrados,,,,,,,,
238,1585-12-01,El 1 de diciembre,449,Música,misa,misa,va a misa,,,,,,,,
239,1585-12-01,El 1 de diciembre,449,Música,órgano,órgano,"de plata, el tintero y la salvadera, tableros de ébano, un órgano, cálices, patenas, mitras, báculos, un",,,,,,,,
240,1585-03-01,El 1 de marzo,451,Música,misa,misa,"El 25, día de Nuestra Señora, acompañé al rey a misa",,,,,,,,
241,1585-04-01,El 1 de abril,452,Música,misa,misa,El 4 asistí a misa,,,,,,,,
242,1585-05-03,El 3 de mayo,453,Música,misa,misa,El 3 de mayo la Emperatriz oyó misa en San Jerónimo,,,,,,,,
243,1605-02-13,el 13 de febrero de 1605,454,Música,misa,misa,El 29 la Emperatriz asistió a misa en las Descalzas,,,,,,,,
244,1605-08-01,El 1 de agosto,455,Música,misa,misa,hizo que el prior cantara misa en la iglesia citada en presencia de S,,,,,,,,
245,1605-08-01,El 1 de agosto,455,Música,misa,misa,"los años acuden muchas gentes, hombres y mujeres, cuando éstas salieron hacia allá para oír la primera misa, el rey no permitió que nadie",,,,,,,,
246,1605-10-01,El 1 de octubre,456,Música,misa,misa,El 1 de octubre la Emperatriz se desplazó a Atocha para oír misa,,,,,,,,
247,1605-11-01,El 1 de noviembre,457,Música,misa,misa,"El domingo, día 9 acompañé al rey a misa",,,,,,,,
248,1605-11-01,El 1 de noviembre,457,Música,misa,misa,acompañé al rey a misa,,,,,,,,
249,1605-10-08,el 8 de octubre,457,Sonido y ruido,pregonó,pregonó,El texto se promulgó en San Lorenzo el 8 de octubre y se pregonó en Madrid el día 10,,,,,,,,
250,1605-12-02,El 2 de diciembre,458,Música,misa,misa,El 7 acompañé al rey a misa,,,,,,,,
251,1605-12-02,El 2 de diciembre,458,Música,misa,misa,"día 14, acompañé al rey a misa y después de comer tuve una larga audiencia con él",,,,,,,,
252,1605-12-02,El 2 de diciembre,458,Música,misa,misa,El 21 acompañé al rey a misa,,,,,,,,
253,1605-12-02,El 2 de diciembre,458,Música,misa,misa,"El 25, Navidad, asistí a misa mayor en mi parroquia",,,,,,,,
254,1605-12-02,El 2 de diciembre,459,Música,misa,misa,Procesión y misa de la Candelaria,,,,,,,,
255,1605-12-02,El 2 de diciembre,459,Música,misa,Misas,Misas cantadas y rito mozárabe,,,,,,,,
256,1605-12-02,El 2 de diciembre,460,Música,misa,Misa,Misa de San Andrés,,,,,,,,
257,1605-12-02,El 2 de diciembre,460,Música,misa,misa,Oye misa en público acompañado por Medina,,,,,,,,
258,1605-12-02,El 2 de diciembre,460,Música,misa,misa,Nueva misa en,,,,,,,,
259,1605-12-12,el 12 de diciembre,461,Música,misa,misa,"misa de Candelaria y acompañé al rey por la mañana en Palacio, y junto",,,,,,,,
260,1605-04-01,El 1 de abril,463,Música,misa,misas,"asistió a las misas cantadas en las iglesias parroquiales, oficiadas por el",,,,,,,,
261,1605-04-01,El 1 de abril,463,Música,misa,misa,vio todas las reliquias y asistió a la misa mozárabe,,,,,,,,
262,1605-05-01,El 1 de mayo,464,Música,cantaron,cantaron,"El 16, la noche de Pentecostés, se cantaron las vísperas solemnemente",,,,,,,,
263,1605-10-01,El 1 de octubre,468,Música,misa,misa,"monasterio de jerónimos, y el 18, domingo, en la santa misa de la iglesia",,,,,,,,
264,1605-11-01,El 1 de noviembre,470,Música,misa,misa,"misa, pues era la fiesta más ceremoniosa de la Orden del Toisón de Oro",,,,,,,,
265,1605-12-01,El 1 de diciembre,470,Música,misa,misa,"día de Nuestra Señora, el rey fue a la misa públicamente a la capilla de",,,,,,,,
266,1605-12-01,El 1 de diciembre,470,Música,misa,misa,"ir a misa a la capilla de Palacio, acompañado por el príncipe de España",,,,,,,,
267,1605-12-01,El 1 de diciembre,472,Sonido y ruido,campana,campaña,Hans sobre esa campaña,,,,,,,,
268,1588-01-01,El 1 de enero de 1588,472,Música,misa,misa,a la misa y al sermón,,,,,,,,
269,1588-09-06,el 6 de septiembre,477,Sonido y ruido,disparó,disparos,"recibieron con muchos disparos y «fuegos artificiales»508, de modo que",,,,,,,⟨cand. magnitud: muchos⟩,
270,1589-05-01,El 1 de mayo,483,Música,misa,misa,la misa y al sermón,,,,,,,,
271,1589-10-01,El 1 de octubre,486,Música,misa,misa,Oímos misa allí y desayunamos,,,,,,,,
272,1589-12-01,El 1 de diciembre,488,Música,misa,misa,"a misa y junto al príncipe, su hijo",,,,,,,,
273,1589-12-01,El 1 de diciembre,488,Música,misa,misa,escolté al rey y al príncipe a misa en la capilla con el toisón,,,,,,,,
274,1589-12-01,El 1 de diciembre,489,Música,Te Deum,Te deum,a Hans a acompañarle en el Te deum por la elección de Gregorio XIV,,,,,,,,
275,1590-01-01,El 1 de enero de 1590,490,Música,misa,misa,"El 6, día de Reyes, acudí a misa con mi",,,,,,,,
276,1590-02-01,El 1 de febrero,490,Música,misa,misa,"Candelaria, acompañé al príncipe de España a misa y a la habitual procesión",,,,,,,,
277,1590-02-01,El 1 de febrero,490,Música,misa,misa,"El 5 la Emperatriz oyó misa en Nuestra Señora de Atocha y después almorzó en el jardín de don Juan de Borja, y yo con ella",,,,,,,,
278,1590-02-01,El 1 de febrero,490,Música,misa,misa,"de San Matías, fui a misa con el príncipe",,,,,,,,
279,1590-04-01,El 1 de abril,491,Música,misa,misa,"El 17 acudí a misa, el 18 me confesé",,,,,,,,
280,1590-04-01,El 1 de abril,491,Música,misa,misa,príncipe a misa,,,,,,,,
281,1590-05-01,El 1 de mayo,492,Música,misa,misa,"El 1 de mayo, San Felipe y San Jacobo, acompañé al rey a misa",,,,,,,,
282,1590-12-01,el 1 de diciembre,495,Música,misa,misa,"Señora (Inmaculada Concepción), acompañé al rey a misa",,,,,,,,
283,1590-12-01,el 1 de diciembre,495,Música,Te Deum,Te Deum,"y el príncipe durante la celebración del Te Deum laudamus por la elección de Gregorio XIV, y así",,,,,,,,
284,1590-03-01,El 1 de marzo,498,Música,misa,misa,"El 10 visité al príncipe en Palacio, y lo escolté a la misa y de",,,,,,,,
285,1590-03-01,El 1 de marzo,498,Música,misa,misa,El 17 acompañé al príncipe a misa,,,,,,,,
286,1590-03-01,El 1 de marzo,498,Música,misa,misa,nuevo al príncipe a misa,,,,,,,,
287,1590-04-01,El 1 de abril,499,Música,misa,misa,misa en Palacio y a la procesión,,,,,,,,
288,1590-04-01,El 1 de abril,499,Música,misa,misa,"El 14, Domingo de Resurrección, acompañé al príncipe a misa",,,,,,,,
289,1590-04-01,El 1 de abril,499,Música,misa,misa,príncipe a misa y todas las mañanas y tardes visité a la Emperatriz por,,,,,,,,
290,1590-04-01,El 1 de abril,499,Música,misa,misa,príncipe a misa,,,,,,,,
291,1590-05-01,El 1 de mayo,499,Música,misa,misa,misa y de regreso,,,,,,,,
292,1592-01-05,El 5 de enero de 1592,506,Música,músic*,músico,buen músico,,,,,,,⟨cand. evaluativa: buen⟩,
293,1592-01-05,El 5 de enero de 1592,506,Sonido y ruido,disparó,disparos,"orden de batalla de soldados, con disparos de la artillería en el Palacio",,,,,,,,
294,1592-01-05,El 5 de enero de 1592,506,Sonido y ruido,artillería,artillería,"orden de batalla de soldados, con disparos de la artillería en el Palacio",,,,,,,,
295,1592-02-06,El 6 de febrero,507,Sonido y ruido,artillería,artillería,por los del archiduque con la artillería y otras demostraciones,,,,,,,,
