id,fecha,entrada (texto),página,categoría,término (lema),detectado,cita / contexto,Nivel (Rostagno),Tipo,Intención simbólica,Postura del testigo,¿Ruido?,Subtipo rumor,señal evaluativa (auto),notas
553,1645-06-20,El 20 de junio de 1645,636,Sonido y ruido,silencio,silencios,"La primera pista que tuve de él, en el más absoluto de los silencios",,,,,,,,
554,1598-01-10,a 10 de enero de 1598,676,Voz y rumor,rumor,rumor,"No obstante, hasta la fecha no puedo confirmarlo, pero es el rumor que corre",,,,,,,,
555,1598-01-31,a 31 de enero de 1598,680,Metáfora musical (candidatas),concierto,concierto,deste de Genova con aviso como el concierto entre su Sant,,,,,,,,
556,1598-03-14,a 14 de marzo de 1598,683,Voz y rumor,rumor,rumores,A ello le siguieron muchos rumores,,,,,,,⟨cand. magnitud: muchos⟩,
557,1598-01-12,12 de enero,685,Voz y rumor,rumor,rumores,Tampoco faltan los rumores que afirman que el archiduque Alberto,,,,,,,,
558,1598-04-12,a 12 de abril de 1598,689,Voz y rumor,rumor,rumores,"Ahora es necesario que el archiduque Alberto envíe su renuncia, lo que, según los rumores generales, ha sucedido ya",,,,,,,,
559,1598-04-25,a 25 de abril de 1598,692,Música,Te Deum,Te Deum,cantara un solemne Te Deum Laudamus en la capilla de palacio y en las,,,,,,,⟨cand. evaluativa: solemne⟩,
560,1598-06-02,a 2 de junio de 1598,698,Voz y rumor,rumor,rumores,de que los rumores generales son,,,,,,,,
561,1598-08-08,a 8 de agosto de 1598,707,Música,misa,misa,"Ayer pidió al nuncio apostólico que mañana, día de Nuestra Señora, lea la misa pontificia que",,,,,,,,
562,1598-08-14,a 14 de agosto de 1598,709,Metáfora musical (candidatas),armonía,armonía,hasta que fallezca habrá mucho que hacer antes de que reine la armonía entre todos,,,,,,,⟨cand. magnitud: mucho⟩,
563,1598-09-13,13 de septiembre,715,Metáfora musical (candidatas),acorde,acorde,señor acorde con su edad y experiencia y me ordenó que transmitiera,,,,,,,⟨cand. evaluativa: acorde⟩,
564,1598-09-13,13 de septiembre,716,Voz y rumor,rumor,rumores,"sucesor, había oído rumores de este asunto, antes de abrir el testamento, protestó y dijo que no estaba obligado a realizarlo, por lo que",,,,,,,,
565,1598-08-06,6 de agosto,717,Voz y rumor,rumor,rumor,el rumor,,,,,,,,
566,1598-10-12,a 12 de octubre de 1598,722,Música,misa,misa,de Toledo ofició la víspera y la misa mayor,,,,,,,,
567,1598-11-25,25 de noviembre,729,Sonido y ruido,tiro,tiro,"siempre fuera de Madrid, es un gran aficionado al campo y al tiro y",,,,,,,⟨cand. magnitud: gran⟩,
568,1571-10-07,7 de octubre de 1571,738,Música,romance,romances,"de Torres compuso una en romances, en 4 hojas",,,,,,,,
569,1571-10-07,7 de octubre de 1571,738,Música,romance,romance,El romance de Juan de Torres es simple en sus contenidos y rítmico,,,,,,,,
570,1571-10-07,7 de octubre de 1571,738,Voz y rumor,al oído,al oído,al oído,,,,,,,,
571,1571-10-07,7 de octubre de 1571,738,Música,cantar,cantar,"Sin duda, un cantar de ciegos, un pliego de cordel en que se",,,,,,,,
572,1571-12-18,el 18 de diciembre,742,Música,músic*,músicos,"1571 Después, para el 18 de diciembre se preparó una «máscara», es decir, una fiesta con músicos, carros, y las autoridades organizadas en",,,,,,,,
573,1576-11-27,El 27 de noviembre,746,Música,música,música,cimientos de la Torre de música),,,,,,,,
574,1576-11-27,El 27 de noviembre,748,Música,ministril,ministriles,Los ministriles tañen sus instrumentos,,,,,,,,
575,1576-11-27,El 27 de noviembre,748,Música,tañen,tañen,Los ministriles tañen sus instrumentos,,,,,,,,
576,1576-11-27,El 27 de noviembre,748,Música,música,música,"descansan, mientras oyen música y cortesano que habla exaltadamente",,,,,,,,
577,1615-12-19,El 19 de diciembre,750,Música,música,Música,"Música en el Prado de San Jerónimo de Madrid, Tesis de Licenciatura",,,,,,,,
