id,pagina,termino,ambito,nivel_rostagno,postura_oyente,cualificadores,magnitud,instrumentos_nombrados,generos_piezas,escucha_explicita,cita
60,424,trompeta,militar / señalético,índice,registro,,,trompeta,,,"El mismo día, auía llegado al campo del de Mansfeld vn trompeta que inuió el Mauricio sobre ciertas cosas, al qual dixo el de Mansfeld, qué es la causa porque tu amo se encierra dentro de tantas municiones, ¿por qué no sale al campo y pelea conmigo?"
61,424,trompeta,militar / señalético,índice,ponderación de magnitud,,mucho,trompeta,,,"Á que respondió reiendo con mucho donaire el trompeta, diziendo no os espanteís porque se quiere hazer soldado viejo y experimentado como vos soys"
62,424,trompeta,militar / señalético,índice,ponderación de magnitud,,gran,trompeta,,,"Auiendo buelto al campo el trompeta, Harmio Buuerio y Caluio, capitanes que a casso hazían la guarda, viendo que en la ciudad y sus murallas auía muy gran silencio, como adeuinando lo que dentro se hazía, tomando dos arcabuzeros, dos rodeleros y dos alabarderos armados, arrimando al muro vna puentecilla de madera que se assió de vn baluarte, subieron a lo alto a ver lo que se hazía dentro la ciudad"
63,436,trompeta,militar / señalético,índice,registro,,,trompeta,,,"Por lo qual, los ciudadanos viendo que el enemigo tenía passo abierto para entrar siempre que quisiesse, imbiaron a los reales a Julan] Rurio con vn trompeta para que diesse esperanzas al Mauricio que si el día siguiente imbiando vn trompeta suyo a los ciudadanos pidiendo que le rindiessen y entregassen la ciudad fácilm[en]te harían lo que les mandasse"
64,445,capilla,sacro / litúrgico,símbolo,registro,,,,,,"Por este tiempo, el conde de Barlamont, cauallero del Tussón de oro, vino a Madrid a quien su magestad mandó que assistiesse en la capilla real y acompañasse al príncipe su hijo y le siruiesse"
65,445,capilla,sacro / litúrgico,símbolo,ponderación de magnitud,,grandes,,,,"Ordenó al marqués de Velada y a don Christóual de Mora que le acompañassen quando fuesse a la capilla y le lleuassen en medio, a donde estubo asentado en vn banco y assiento particular que no era el asiento de grandes, sino de los caualleros del Tusón y estaua entre el banco de los embajadores y de los capellanes"
66,446,tañer,sacro / litúrgico,símbolo,registro,,,,,,"Nombró su magestad por su embajador en Venecia a don Iñigo de Mendoza, hijo segundo del marqués de Mondéjar, el qual se enamoró ciegamente de cierta muger coja aficionado de la gracia que tenía en danzar, cantar y tañer vna harpa, muger de poca calidad y baja condición, el qual contra la voluntad de sus deudos se desposó con ella, de la qual huuo por hijo al que agora es marqlué]s de Mondéjar"
67,446,música,militar / señalético,índice,ponderación de magnitud,,mucho,"chirimias, trompetas",,,"Ordenó su magestad al príncipe su hijo que passasse por la calle donde tenía sus cassas el conde de Franquenburg, el qual tubo tanta preuención de música, trompetas, chirimias y otros instrumentos músicos que los reyes recibieron mucho gusto y contentamiento"
68,448,trompetas,militar / señalético,índice,valoración estética,lúcida,muchos,"chirimias, trompetas",,,"Yuan delante los trompetas, chirimias y música y después vna lúcida tropa de cauallería, tras ella ¿ua Filipo de Nassau, príncipe de Orange, después dél muchos otros príncipes y varones ylustres, vltimamente ve"
69,450,trompetas,militar / señalético,índice,ponderación de magnitud,,grande,trompetas,,,"* Entretanto, el de Nauarra afligido con la nueua no imaginada de la pérdida de Cales, marchó a toda priessa con su cauallería y infantería a continuar el sitio de la Fera, $]a qual después de siete meses de sitio se rindió al de Nauarra, auiéndose gastado casi todos los bastimentos que auía metido George Basti, y fue la entrega con condición que el senescal Montlimaro con Áluaro Osorio capitán de los soldados del presidio y los demás soldados y capitanes dentro de seys días saliessen de la Fera con las vanderas tendidas y tocando las cajas y trompetas con sus armas y bajage, y que pudiessen lleuar consigo la pieza grande de bronze, que no tenía las armas de Francia y antiguamente > **[nota marginal]** 2% El archiduque Alberto gana a Calais"
70,453,trompeta,militar / señalético,índice,registro,,,trompeta,,,"El día siguiente, que fue a veinti vno de julio, auiendo hecho señal vna trompeta disparó la artillería gruesa, y el baluarte, aunque estaua muy pertrechado con bestiones y fosso, fue acometido por tres partes y ocupado"
71,461,trompeta,militar / señalético,índice,valoración estética,destreza,"grande, mucha",trompeta,,sí,"Estos como quien auía de renouar la batalla en oyendo la trompeta acometieron con grande alegría y ánimo a la gente del Mauricio que ya andaua esparcida robando y saqueando los vencidos, pero aduirtiendo esto el Mauricio arrojó sobre ellos quatro tropas de cauallería que de industria auía reseruado para en qualquier acontecimiento socorrer a los suyos y las tenía puestas en vna emboscada, las quales con grande esfuerzo y destreza se opusieron a los españoles, los quales sin guer apenas probado a pelear con pérdida de mucha gente se pusieron en huida, procurando cada vno escaparse por donde mejor podía"
72,466,trompeta,militar / señalético,índice,registro,,,trompeta,,,"El gouernador que era el capitán Andrés de Miranda hallándose muy falto de póluora imbió vn trompeta que pidiesse treguas por tres días, y si dentro de tres días no les venía el socorro que entregarían el pueblo"
73,486,vísperas,sacro / litúrgico,símbolo,ponderación de magnitud,,"grandes, muchos",,"missa, vísperas",,"Después desto, a diez y ocho del mismo mes de septiembre en s[an]t Hierónymo de Madrid se dixeron las vísperas de las honrras y obsequias del rey don Felipe difunto, el día siguiente dixo la missa el arçobispo de Toledo assistiendo el nueuo rey y la infanta su hermana, los embajadores de los reyes y los grandes de España, los presidentes de los consejos, los consejeros y otros muchos títulos y señores, solo faltó la emperatriz por su flaqueza y vejez"
74,487,sarao,profano / cortesano,símbolo,ponderación de magnitud,,grandes,,,,"Hállose su magestad al combite que hizo allí a los grandes, sin tener respecto al luto y honrras de su padre, que auía muerto a treze del mes passado, auiendo estado con los grandes en el banquete y sarao cosa de media hora se fue al Pardo"
75,490,missa cantada,sacro / litúrgico,símbolo,ponderación de magnitud,,muchas,,missa,,"Después de entrada en la yglesia lleuando a la reyna y a su madre a vn estrado de brocado debajo de dosel de la misma tela, y al otro lado debajo de otro dosel se sentó el archiduque, començó su santidad la missa cantada, y después de auer cantado el credo, dos cardenales lleuaron a la reyna y a su madre acompañada de muchas damas y donzellas a donde estaua el pontífice"
76,490,músicas,profano / cortesano,símbolo,registro,,,,,,"Todos los lugares, todas las calles, todas las cassas públicas de concejo y las de particulares se oían llenas de diuersas músicas, por las calles y plazas, 2 La reyna y archiduque vesan el pie al pontífice"
77,496,trompeta,militar / señalético,índice,registro,,,trompeta,,,"mente, a seys de nouiembre assentó sus reales sobre Dothecom, y el mesmo día mandó batir luego al punto la puerta que mira a Desburgo sin auer imbiado trompeta como es costumbre a requerir a los de dentro que le entregassen el pueblo"
78,500,trompetas,profano / cortesano,símbolo,valoración estética,"concertada, harmonía",,"clarines, menestriles, trompetas",,,"Entraron delante de todos cinco compañías de a cauallo y después treinta trompetas y menestriles, y los trompetas del rey que en concertada harmonía yendo todos en cauallos aderezados mientras vnos tocaban, descangaban otros y luego se respondían con los clarines y otros instrumentos"
79,501,cantaron,sacro / litúrgico,símbolo,registro,,,,letanías,,Auiendo respondido entrambos que si querían se allegaron todos quatro al altar y mientras se cantaron las letanías ratificaron y aprobaron los matrimonios
80,505,capilla,sacro / litúrgico,símbolo,ponderación de magnitud,,gran,,,,"A veinte cinco deste mes su magestad en la capilla real dio el Tusón de oro al duque de Alua, assistiendo al acto como gran maestre de la religión"
81,519,bailes,profano / cortesano,símbolo,registro,,,,,,"A ocho de agosto su magestad con el archiduque, el dicho conde y el de Lerma y Velada fueron en los coches a pasearse de noche por las plazas y calles de Vallladoli]d, donde encontraron algunas máscaras y bailes que se hazían por fiestas del archiduque"
