id,página,difunto/evento (probable),tipo,términos,voz,1ª persona,motivo clasif.,cita / contexto
339,385,Emperatriz María (†1603),muerte,murió,diario,,cuerpo del diario,Doña María de Dietrichstein y Cardona murió en 1595
340,385,Emperador/triz (?),muerte,muerte,diario,,cuerpo del diario,"La muerte de don Enrique I, el tío abuelo del insensato Sebastián, se recibió en Viena precisamente gracias a una carta de Hans"
341,385,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,Emperador que reside en la Corte de Su Majestad se supo aquí habrá tres días la muerte del Rey de
342,385,Felipe II (†1598),muerte,murió,diario,,cuerpo del diario,Dice que murió a los 31 de enero en Almerim y por no haber
343,386,Archiduque/esa,ceremonia,duelo,diario,sí,cuerpo del diario,"1578 El 1 de septiembre el conde de Camarasa, yerno del duque de Terranova, se fue en secreto y de noche a causa de un duelo admitido, por lo"
344,387,Príncipe (heredero),muerte,falleció,diario,,cuerpo del diario,El 21 falleció cristianamente a las siete de la tarde el santo y devoto
345,389,(general / otros),ceremonia,cadáver,diario,sí,cuerpo del diario,"El 23 se trasladó el cadáver a El Escorial, donde se celebraría el 1578"
346,389,(general / otros),ceremonia,entierro,diario,sí,cuerpo del diario,entierro real
347,389,Infante/a,ceremonia,funeral,diario,sí,cuerpo del diario,El 8 de octubre comenzó en Los Jerónimos el digno funeral por el
348,389,Don Juan de Austria,muerte,fallecido,diario,,cuerpo del diario,"fallecido el 10 en Namur, en los Países Bajos"
349,389,Príncipe (heredero),muerte,falleció,diario,sí,cuerpo del diario,"El 18 falleció a las 10 de la mañana, lo que produjo una gran desolación392"
350,389,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,sobre su muerte (que no son por envenenamiento)
351,389,(general / otros),ceremonia,honras,diario,,cuerpo del diario,"se haga en ese reino en general, ni en particular, demostración alguna de tristeza exterior de honras"
352,389,(general / otros),ceremonia,luto,diario,,cuerpo del diario,"luto, ni otra cosa semejante a esta, antes en su lugar devotas procesiones y oración pública, dándole gracias por ello y suplicándole con mucha humildad aplaque Su ira, no mirando las culpas y"
353,390,(general / otros),ceremonia,entierro,diario,sí,cuerpo del diario,príncipe a su entierro en El Escorial
354,390,(general / otros),ceremonia,pésame,diario,sí,cuerpo del diario,El 20 envié un pésame al rey
355,390,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,"A la Emperatriz María, por su parte, le empezaron a aparecer depresiones a raíz de la muerte de"
356,391,Cardenal,muerte,muerte,diario,,cuerpo del diario,Muertes y relevos en Palacio
357,391,Reina (?),ceremonia,"condolencia, condolencias, muerte",diario,,cuerpo del diario,enviado a Lisboa para dar las condolencias por la muerte de don
358,392,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"el día 12, estando fuera de Madrid y volviendo a su casa, falleció el"
359,393,(general / otros),ceremonia,"condolencia, condolencias, muerte",diario,,cuerpo del diario,"para presentar sus condolencias al rey de Portugal, don Enrique, por la muerte y derrota de su primo"
360,394,(general / otros),ceremonia,"condolencia, condolencias",diario,sí,cuerpo del diario,les presenté las condolencias por su encarcelamiento
361,395,Archiduque/esa,muerte,falleció,diario,sí,cuerpo del diario,El 24 falleció en Múnich el archiduque Alberto de Baviera
362,397,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,Muerte de la reina
363,397,Emperatriz María (†1603),ceremonia,entierro,diario,,cuerpo del diario,Llega tarde al entierro
364,397,Emperatriz María (†1603),ceremonia,difunto,diario,sí,cuerpo del diario,"había dejado el difunto rey don Sebastián de Portugal, la que, según decía, ascendería para la Emperatriz como mínimo a medio millón"
365,398,(general / otros),ceremonia,cera,aparato,,señal aparato: ags,"El 24-II-1580 se le dio otra cédula para llevarse su ropa de uso, cubiertos, guantes y lo habitual, con «dos retratos de cera»"
366,398,Emperatriz María (†1603),muerte,muerte,aparato,,señal aparato: ags,Tampoco se puede decir que su muerte fuera de poca importancia…
367,398,Infante/a,muerte,murió,diario,,cuerpo del diario,La infanta María murió el 5-VIII-1583
368,401,Reina (?),muerte,fallecimiento,diario,sí,cuerpo del diario,"con motivo del fallecimiento de la reina, de memoria loabilísima, con el"
369,401,Reina (?),ceremonia,entierro,diario,sí,cuerpo del diario,"Madrid hacia El Escorial para asistir al entierro de la reina, de gloriosa"
370,401,(general / otros),ceremonia,sepultura,diario,sí,cuerpo del diario,"que desprendía, se apresuraron en darle sepultura, de manera que yo y"
371,401,(general / otros),ceremonia,pésame,diario,sí,cuerpo del diario,"Al rey le escribí una carta de pésame, en"
372,401,Emperatriz María (†1603),ceremonia,"condolencia, condolencias, fallecimiento",diario,sí,cuerpo del diario,condolencias por el fallecimiento de la reina
373,403,Emperatriz María (†1603),ceremonia,"funeral, funerales",diario,,cuerpo del diario,Funerales por
374,404,Infante/a,ceremonia,funeral,diario,,cuerpo del diario,El 26 comenzó en San Jerónimo el funeral por
375,404,Infante/a,muerte,fallecida,diario,,cuerpo del diario,la piadosa y santa reina fallecida y el 27 finalizó
376,404,Reina (?),muerte,fallecido,diario,sí,cuerpo del diario,"Sí se ha de saber que después de que hubiera fallecido la reina, de"
377,405,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,metido castidad a su esposo en el lecho de muerte de éste
378,406,Príncipe (heredero),ceremonia,difunto,diario,,cuerpo del diario,"con doña Guiomar de Saá, hija del difunto Luis Venegas, que fue dama"
379,406,Archiduque/esa,ceremonia,luto,diario,sí,cuerpo del diario,A la vista del luto en Palacio nadie más fue admitido
380,406,(general / otros),ceremonia,difunta,diario,sí,cuerpo del diario,"difunta hermana Ana, llamado Jorge425, para que se alistara en el regimiento del conde Jerónimo de Lodrón, que más tarde fue enviado con"
381,407,Reina (?),ceremonia,"condolencia, condolencias, fallecimiento",diario,,cuerpo del diario,al trono de Portugal y para presentar las condolencias por el fallecimiento de la reina
382,411,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,Llegan noticas de la muerte de don Diego en
383,411,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,Muerte de Alba y casi un epicedio
384,413,Emperatriz María (†1603),ceremonia,enterrado,diario,sí,cuerpo del diario,"demasiado, porque muchos de los suyos estaban enterrados allí"
385,415,Reina Ana de Austria (†1580),muerte,fallecido,diario,sí,cuerpo del diario,"la pasamos en Badajoz, donde había fallecido la devota y santa reina Ana"
386,416,(general / otros),ceremonia,entierro,diario,,cuerpo del diario,Le procuré un digno y cristiano entierro en la parroquia de Santa Catalina
387,417,Emperatriz María (†1603),muerte,finó,diario,,cuerpo del diario,de lo más fino y apropiado
388,419,Príncipe (heredero),muerte,fallecido,diario,,cuerpo del diario,El 24 llegaron noticias de Madrid de que el príncipe don Diego había fallecido a las seis
389,419,Emperatriz María (†1603),muerte,fallecimiento,diario,sí,cuerpo del diario,"por el fallecimiento del mencionado príncipe, y en el mismo comuniqué temas muy secretos"
390,419,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,"podría tener la muerte del príncipe español, e igualmente traté asuntos"
391,419,Infante/a,muerte,murió,diario,,cuerpo del diario,"El 2 de diciembre murió súbitamente la duquesa de Aveiro, una mujer joven y fuerte, hermana del duque de Osuna"
392,420,Emperatriz María (†1603),muerte,murió,diario,,cuerpo del diario,También murió
393,420,Archiduque/esa,ceremonia,"exequias, fallecido",diario,sí,cuerpo del diario,"Belén, para celebrar las exequias del fallecido rey de Portugal, y desde"
394,420,Emperatriz María (†1603),ceremonia,exequias,diario,sí,cuerpo del diario,El 23 llegó el rey a Lisboa tras la celebración de las exequias
395,421,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,Muerte de Pernestein [Pernestán]
396,421,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,Muerte repentina de
397,426,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,El día 4 falleció la devota y santa
398,426,Reina Ana de Austria (†1580),ceremonia,entierro,diario,,cuerpo del diario,criatura y el día 5 tuvo lugar el entierro en San Lorenzo el Real
399,427,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"El 25, domingo, falleció de repente por una gran negligencia el"
400,427,Emperador Maximiliano II (†1576),muerte,muriese,diario,,cuerpo del diario,en papeles a la gloriosa memoria del Emperador Fernando poco antes que muriese cerca de su
401,427,Emperador Maximiliano II (†1576),muerte,murió,diario,,cuerpo del diario,hasta el año de 1573 en que murió y el siguiente de 1575 vino de Roma a España a servir a Vuestra
402,429,Emperatriz María (†1603),muerte,fallecido,aparato,sí,señal aparato: libro 3,Ese día había fallecido en casa la buena y anciana duquesa de
403,431,(general / otros),ceremonia,cera,diario,,cuerpo del diario,"otros 2 de garras de gatos cervales, otros 2 de lomos de gatos cervales, 4 docenas de cordobanes, 50 docenas de cabritillos de todos colores, 12 velas de cera blanca de Valencia, 2 rollitos de la"
404,431,(general / otros),ceremonia,cera,diario,,cuerpo del diario,"dicha cera, 8 botas de vino, 20 libras de hilo de Portugal, 3 docenas de tijeras, 70 piezas de porcelanas grandes, medianas y chicas, 24 estuches de Córdoba, 6 docenas de guantes, 3 docenas de"
405,435,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"El mismo día falleció monsieur d’Anjou, hermano del"
406,436,Príncipe (heredero),muerte,murió,diario,sí,cuerpo del diario,Ese día murió el príncipe de Orange por el tiro de un
407,436,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"El 2 de agosto falleció en Medinaceli Marco Antonio Colona, cuando"
408,439,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,falleció el hijo mayor de mi hermano el señor Bartolomé
409,440,Emperatriz María (†1603),muerte,fallecimiento,diario,,cuerpo del diario,fallecimiento
410,440,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,Muerte del Papa
411,440,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,Muerte de Gerlin cuando traía maquinaria para el Ingenio de la
412,442,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"El 13 falleció don Íñigo de Cárdenas, presidente de"
413,444,Papa/Pontífice,muerte,falleció,diario,sí,cuerpo del diario,Se ha de saber que el papa Gregorio XIII falleció
414,444,Papa/Pontífice,muerte,falleció,diario,sí,cuerpo del diario,"Ese mismo día falleció en Barcelona mi sirviente Gregorio Gerlin, cuando llegó allá con el ingenio para fabricar"
415,448,Emperador/triz (?),muerte,falleció,diario,sí,cuerpo del diario,"Ese mismo día falleció en Monzón el marqués de Aguilar, consejero privado del rey"
416,453,Emperatriz María (†1603),muerte,fallecimiento,diario,sí,cuerpo del diario,"por la gobernación del condado de Görz [Gorizia], que me había correspondido tras el fallecimiento del conde Francisco de Thurn, dado que"
417,453,Felipe II (†1598),muerte,murió,diario,,cuerpo del diario,"Efectivamente, el primer nieto de Felipe II nació el 2 de abril de 1586 y murió el 13 de febrero de 1605"
418,456,Príncipe (heredero),muerte,falleció,diario,,cuerpo del diario,El 21 falleció en
419,456,Cardenal,ceremonia,enterrado,diario,,cuerpo del diario,enterrado el 22 en San Felipe con gran pompa
420,456,Cardenal,muerte,fallecimiento,diario,,cuerpo del diario,"Tras su fallecimiento el rey nombró presidente de Italia ad interim al cardenal de Toledo, cosa que se antojó extraña tanto por el hecho"
421,457,Príncipe (heredero),muerte,falleció,diario,sí,cuerpo del diario,"El 17 falleció don Juan de Zúñiga, comendador"
422,457,Emperatriz María (†1603),ceremonia,entierro,diario,sí,cuerpo del diario,Barcelona para su entierro
423,461,Emperatriz María (†1603),muerte,fallecido,diario,,cuerpo del diario,"había fallecido el 12 de diciembre del año que acababa de terminar, 1587"
424,461,Reina (?),muerte,falleció,diario,,cuerpo del diario,"Ese mismo día falleció también en Praga mi viejo y leal sirviente Juan Hillibrandt, que llevaba mis asuntos en"
425,462,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"Ese día también falleció en Madrid mi viejo sirviente y tapicero Valentín Penz, que"
426,466,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,El 7 falleció don Hernando de Borja
427,466,Cardenal,muerte,expiró,aparato,sí,señal aparato: ags,El 9 expiró en Klag495
428,473,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,El 6 falleció el conde Pío Antonio Lona de una apoplejía
429,473,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,El 9 falleció el marqués de Santa
430,473,Emperatriz María (†1603),muerte,murió,diario,,cuerpo del diario,"El 12 murió Sebastián de Santoyo, un camarero anciano y de gran"
431,473,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,"Ese día falleció el conde de Marigliano, que servía al rey"
432,473,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,El 29 falleció la
433,473,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,"amigo Pedro de Gallegos también falleció, que Dios se apiade de sus"
434,478,Príncipe (heredero),muerte,falleció,diario,sí,cuerpo del diario,"El 28 falleció en Madrid el marqués de Navarrés, el yerno del"
435,480,Príncipe (heredero),muerte,falleció,diario,sí,cuerpo del diario,"después falleció la madre del rey, como se verá"
436,480,Emperatriz María (†1603),muerte,muerte,aparato,,señal aparato: hans escribe,"De nuevo, sobre la muerte de Catalina de Médicis y opiniones de Hans"
437,481,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"El 5 falleció en Blois, Francia, la anciana reina"
438,483,Emperatriz María (†1603),ceremonia,difunto,diario,sí,cuerpo del diario,lugar del difunto Hilliprandt a la Corte imperial para tratar mis asuntos
439,483,(general / otros),ceremonia,difunto,diario,sí,cuerpo del diario,"Juan Nusser, en sustitución del difunto Hilliprandt, a la Corte de S"
440,486,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,El 23 falleció inesperadamente de una apoplejía
441,489,Emperatriz María (†1603),muerte,muerte,aparato,,señal aparato: hans se,Muerte
442,490,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,"mejor amigo que he tenido, falleció en Nicklesburg520"
443,490,Emperatriz María (†1603),ceremonia,difunto,diario,sí,cuerpo del diario,había dejado el difunto señor Adán de Dietrichstein e intercedí por ellos
444,493,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,"El 11, en Graz, falleció cristianamente en Dios, mi piadoso, clementísimo señor el archiduque Carlos de Austria"
445,494,Papa/Pontífice,muerte,falleció,diario,,cuerpo del diario,El 27 de dicho mes falleció inesperadamente el papa Sixto V
446,494,Cardenal,muerte,falleció,diario,,cuerpo del diario,papado falleció en Dios
447,494,Emperatriz María (†1603),muerte,murió,diario,sí,cuerpo del diario,"murió el hijo varón más pequeño, llamado Bartolomé"
448,494,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,El 13 falleció mi
449,494,Emperatriz María (†1603),ceremonia,pésame,diario,,cuerpo del diario,"El 16 expresé el pésame al joven duque, su"
450,494,Emperatriz María (†1603),muerte,fallecido,diario,,cuerpo del diario,"hijo mayor, así como al condestable de Castilla, yerno del fallecido duque"
451,494,Archiduque/esa,muerte,falleció,diario,sí,cuerpo del diario,El 27 falleció el
452,497,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,El 27 falleció
453,498,Archiduque/esa,muerte,falleció,diario,sí,cuerpo del diario,El mismo día falleció en
454,502,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"El 5 falleció en Madrid Antonio Meiting, requiescat in pace"
455,507,Reina (?),muerte,falleció,diario,sí,cuerpo del diario,"falleció cristianamente la devota y santa reina de Francia, doña Isabel, en"
456,508,Archiduque/esa,ceremonia,difunto,diario,sí,cuerpo del diario,"El 14 me recibió y visitó la archiduquesa, viuda y esposa del difunto archiduque Carlos, enviándome a uno de sus cámaras, al"
457,509,Príncipe (heredero),muerte,fallecimiento,diario,,cuerpo del diario,"el fallecimiento del príncipe, un joven señor muy"
458,510,Reina (?),ceremonia,exequias,diario,sí,cuerpo del diario,Francia y el 5 tuvieron lugar las exequias
459,510,Archiduque/esa,ceremonia,difunto,diario,sí,cuerpo del diario,"Suecia, con la hija mayor del difunto archiduque Carlos, llamada Ana, así"
460,511,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"El último día del mes falleció en Praga el señor Guillermo de Rosenberg530, caballero de la Orden del Toisón de Oro, que Dios"
461,516,Archiduque/esa,ceremonia,cera,diario,,cuerpo del diario,sellos en cera y lacre del Archiduque y firmado de su mano
462,523,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"falleció el devoto secretario Gabriel de Zayas, un muy querido amigo mío"
463,526,(general / otros),ceremonia,réquiem,diario,,cuerpo del diario,Por la noche fue de nuevo con los caballeros a vísperas de réquiem
464,528,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,"económicas, muerte de la duquesa de Mantua, correo y visitas diarias a la Emperatriz"
465,531,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"El mismo día falleció en Madrid el duque de Medinaceli, Dios se apiade de su alma"
466,532,Emperatriz María (†1603),muerte,fallecimiento,diario,sí,cuerpo del diario,"El 15 la Emperatriz supo del fallecimiento de la duquesa de Mantua, su prima"
467,533,Archiduque/esa,muerte,falleció,diario,,cuerpo del diario,El 20 falleció el cardenal don Gaspar de
468,533,Emperatriz María (†1603),muerte,murió,diario,,cuerpo del diario,El 26 murió apacible e inesperadamente
469,534,Infante/a,muerte,muerte,diario,,cuerpo del diario,Muerte del archiduque Ernesto en Bruselas
470,534,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,muerte de su hijo Ernesto
471,534,Emperatriz María (†1603),ceremonia,"funeral, funerales",diario,,cuerpo del diario,Funerales por Ernesto y Hans protagonista en la reorientación
472,534,Felipe II (†1598),muerte,muerte,diario,,cuerpo del diario,Sobre el valor y la muerte de Carlos de Mansfeld
473,535,Archiduque/esa,ceremonia,difunto,diario,sí,cuerpo del diario,"El 20 llegó a Madrid doña Margarita de Cardona, esposa del difunto Adán de Dietrichstein, a cuyo encuentro fui a una legua de Madrid538"
474,535,Archiduque/esa,muerte,falleció,diario,sí,cuerpo del diario,El mismo día falleció en Bruselas el piadoso y santo señor archiduque Ernesto de Austria539
475,535,Emperador Rodolfo II,muerte,muerte,aparato,,señal aparato: ahpm,La muerte de Ernesto cogió por sorpresa a todos
476,535,Emperador Rodolfo II,muerte,muerte,diario,,cuerpo del diario,Rodolfo II seguía soltero y la muerte de Ernesto
477,535,Felipe II (†1598),ceremonia,pésame,aparato,,señal aparato: ags,"del pésame de Guillén de San Clemente a Rodolfo II, desde Praga, 3-III-1595 en el que no sólo"
478,535,Felipe II (†1598),muerte,muerte,aparato,,señal aparato: ags,"muestra el dolor por la muerte de Ernesto, sino el temor a que las cosas de Flandes se descarríen"
479,536,Emperatriz María (†1603),ceremonia,"difunto, fallecimiento",diario,sí,cuerpo del diario,fallecimiento de su difunto hijo el archiduque Ernesto541
480,536,Cardenal,ceremonia,difunto,diario,,cuerpo del diario,"de lo dejado por el cardenal Quiroga, difunto arzobispo de Toledo, que"
481,536,Emperatriz María (†1603),ceremonia,réquiem,diario,sí,cuerpo del diario,El 7 de abril la Emperatriz hizo que se cantaran vísperas de réquiem por el archiduque Ernesto en las Descalzas
482,536,Emperatriz María (†1603),ceremonia,"misa de réquiem, réquiem",diario,sí,cuerpo del diario,"El 8 se cantó la misa de réquiem, en la que"
483,536,Archiduque/esa,muerte,muerte,diario,,cuerpo del diario,el crudo invierno y la muerte del archiduque le hicieron desisitir de hacerse las purgas entonces y
484,537,Archiduque/esa,ceremonia,difunto,diario,sí,cuerpo del diario,"de encargar al archiduque Alberto el gobierno de los Países Bajos en sustitución de su difunto hermano, con la"
485,539,Felipe II (†1598),muerte,muerte,aparato,,señal aparato: ags,"La comunicación de la muerte del conde Carlos de Mansfeld, la salida del archiduque Matías"
486,540,Emperatriz María (†1603),ceremonia,difunto,diario,,cuerpo del diario,las deudas holandesas y alemanas dejadas por el difunto archiduque
487,552,Príncipe (heredero),muerte,fallecido,diario,,cuerpo del diario,archiduque Matías junto con el Toisón de Oro del fallecido archiduque
488,553,Emperatriz María (†1603),muerte,fallecido,diario,,cuerpo del diario,al jardín del fallecido
489,556,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,El 27 falleció en Ferrara Alfonso de
490,556,Archiduque/esa,muerte,fallecido,diario,sí,cuerpo del diario,"del fallecido duque los ducados de Módena y Reggio, como yo siempre"
491,556,Archiduque/esa,muerte,fallecido,diario,sí,cuerpo del diario,El 3 del mencionado mes llegaron noticias de que el 20 de septiembre había fallecido en Graz la
492,556,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,Falleció súbitamente en Turín la infanta doña Catalina
493,557,Emperatriz María (†1603),ceremonia,funeral,diario,sí,cuerpo del diario,El 19 tuvo lugar un funeral vespertino y solemne en la
494,557,Emperatriz María (†1603),ceremonia,funeral,diario,sí,cuerpo del diario,"aunque no públicamente, lo mismo sucedió con el funeral celebrado el"
495,558,Emperatriz María (†1603),ceremonia,exequias,aparato,,señal aparato: hans se,Exequias por Felipe II
496,561,Archiduque/esa,muerte,muerte,diario,sí,cuerpo del diario,"de Austria, tras las muertes de Gregoria Maximiliana y Leonor, hijas del archiduque Carlos, como"
497,563,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,El 30 falleció el buen don Diego de Córdoba
498,563,Emperatriz María (†1603),muerte,muerte,diario,sí,cuerpo del diario,nombrado caballerizo mayor en su lecho de muerte
499,564,Emperatriz María (†1603),ceremonia,exequias,diario,,cuerpo del diario,El 17 se celebraron muy dignamente las exequias y
500,564,Emperatriz María (†1603),ceremonia,funeral,diario,,cuerpo del diario,"el funeral del rey en San Jerónimo, y el 19 tuvo lugar la misa solemne"
501,565,Emperatriz María (†1603),muerte,muerte,aparato,,señal aparato: hans escribe,Muerte de un sirviente de Hans
502,567,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,El 10 falleció repentinamente en Arganda
503,567,Reina (?),muerte,falleció,diario,sí,cuerpo del diario,El 22 falleció en Alcalá García de Loaysa
504,570,Archiduque/esa,muerte,falleció,diario,,cuerpo del diario,El 23 falleció en Madrid el
505,570,Emperatriz María (†1603),muerte,fallecido,diario,sí,cuerpo del diario,"El 13 la Emperatriz se reunió con el rey y la reina en el jardín del fallecido cardenal Quiroga, a media legua de Madrid"
506,571,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,El 30 falleció don Martín de Idiáquez
507,572,Felipe II (†1598),ceremonia,difunto,diario,sí,cuerpo del diario,"El mismo día fue detenido el secretario del marqués de Denia, alias duque de Lerma, Íñigo Ibáñez de Santa Cruz, a causa de un libelo difamatorio contra el viejo rey difunto, de piadosa memoria"
508,572,Cardenal,ceremonia,difunto,diario,,cuerpo del diario,"real, con una dama de la reina, la hija del difunto marqués de Santa Cruz"
509,578,Emperatriz María (†1603),muerte,fallecimiento,diario,sí,cuerpo del diario,"y ver a la Emperatriz, su amadísima señora madre antes de su fallecimiento"
510,582,Emperatriz María (†1603),ceremonia,"difunto, falleció",diario,,cuerpo del diario,"El 31 falleció la marquesa de Navarrés, hija del difunto Adán de"
511,588,Infante/a,muerte,falleció,diario,sí,cuerpo del diario,El 29 falleció en Guadalajara el duque
512,589,Papa/Pontífice,muerte,fallecido,diario,,cuerpo del diario,"le llegaron noticias de que su cuñado, Juan Francisco Aldobrandino, estacionado ante Kanizsa como capitán del Papa, había fallecido en Berasdin por unas fiebres altas"
513,593,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,El 30 falleció súbitamente tras unos pocos
514,596,Emperatriz María (†1603),muerte,muerte,aparato,,señal aparato: hans se,Muerte de la Emperatriz María
515,596,Emperatriz María (†1603),ceremonia,cadáver,aparato,,señal aparato: hans se,del cadáver
516,596,Emperatriz María (†1603),muerte,fallecimiento,diario,,cuerpo del diario,Hans comunica el fallecimiento
517,596,Emperatriz María (†1603),ceremonia,"honras, honras fúnebres",diario,,cuerpo del diario,Honras fúnebres
518,596,Emperatriz María (†1603),muerte,muerte,diario,,cuerpo del diario,Muerte de Isabel de Inglaterra y sucesión de Jacobo de Escocia
519,596,(general / otros),ceremonia,exequias,aparato,,señal aparato: hans se,Exequias de los jesuitas
520,597,Emperatriz María (†1603),muerte,falleció,diario,sí,cuerpo del diario,"Pero como el alumbramiento al parecer se produjo antes de tiempo, la niña falleció pocos días después"
521,599,Emperatriz María (†1603),muerte,falleció,diario,,cuerpo del diario,cerró los ojos a la Emperatriz cuando falleció
522,599,(general / otros),ceremonia,"enterrada, fallecido",diario,,cuerpo del diario,"y el rey fallecido, su hermano, que en paz descanse, por el cual ella debía ser enterrada en San Lorenzo El Real, ella solicitaba que fuese depositada en el"
523,599,Infante/a,muerte,fallecido,diario,,cuerpo del diario,"el rey fallecido como ya se ha dicho, escribieron al rey sobre el particular"
524,600,(general / otros),ceremonia,funeral,diario,,cuerpo del diario,diariamente para tratar la cuestión del funeral por el alma de S
525,600,(general / otros),ceremonia,sepultura,diario,,cuerpo del diario,El 1 de marzo se dio santísima sepultura a S
526,600,(general / otros),ceremonia,funeral,diario,sí,cuerpo del diario,El 11 el rey me requirió en Valladolid para asistir al funeral en recuerdo
527,600,(general / otros),ceremonia,honras,diario,sí,cuerpo del diario,Pero como también había honras en Madrid e importantes negocios que me tenían ocupado no pude ni quise ir ahí y desatender mis
528,600,Archiduque/esa,muerte,fallecimiento,diario,sí,cuerpo del diario,"para avisarle del fallecimiento de su estimada Majestad, lo que se demoró hasta esa fecha porque envié copias autentificadas de su testamento"
529,600,Emperatriz María (†1603),ceremonia,pésame,diario,sí,cuerpo del diario,El 14 llegó el conde de Nieva enviado por el rey para dar el pésame
530,600,Emperatriz María (†1603),muerte,fallecimiento,diario,,cuerpo del diario,"a la infanta doña Margarita a causa del fallecimiento de la Emperatriz, al"
531,600,(general / otros),ceremonia,funeral,diario,,cuerpo del diario,El 18 tuvo lugar un solemne funeral en las
532,600,(general / otros),ceremonia,honras,diario,sí,cuerpo del diario,lugar las honras en las que cantaron las tres misas el arzobispo y los
533,600,Reina (?),ceremonia,túmulo,diario,sí,cuerpo del diario,"mi puesto, de forma que partí con el tumulo o castro doloris que se celebró con gran solemnidad"
534,601,(general / otros),ceremonia,pésame,aparato,sí,señal aparato: rah,"el pésame, y yo la acompañé a petición del rey y del enviado real"
535,601,Reina Isabel de Valois,muerte,falleció,diario,sí,cuerpo del diario,Ese día falleció la
536,601,Emperatriz María (†1603),ceremonia,"fallecimiento, pésame",diario,sí,cuerpo del diario,"para darle el pésame por el fallecimiento de la Emperatriz, y al día siguiente asistí a la audiencia ante S"
537,601,Emperatriz María (†1603),ceremonia,funeral,diario,sí,cuerpo del diario,jesuitas celebraron un funeral en memoria de la santísima Emperatriz en
538,602,Infante/a,muerte,falleció,diario,sí,cuerpo del diario,"El 1 de junio salí de la cama, al día siguiente falleció la duquesa de"
539,603,Emperatriz María (†1603),ceremonia,difunta,diario,sí,cuerpo del diario,asuntos testamentarios de la difunta Emperatriz
540,603,Emperatriz María (†1603),ceremonia,difunta,diario,,cuerpo del diario,y al mencionado duque de Lerma sobre el testamento de la difunta Emperatriz
541,604,Emperatriz María (†1603),ceremonia,difunta,diario,sí,cuerpo del diario,"Tras lo cual el 12 hice llamar a los testamentarios de la difunta Emperatriz, les presenté mi poder y con ellos me"
542,604,Felipe II (†1598),ceremonia,difunto,diario,,cuerpo del diario,"tenía en estima, y quizá se deba a que ya en época del difunto rey había"
543,605,Emperatriz María (†1603),ceremonia,difunta,diario,sí,cuerpo del diario,del rey acerca de la ejecución del testamento de la difunta Emperatriz
544,605,Emperatriz María (†1603),ceremonia,difunta,diario,sí,cuerpo del diario,inicié con ellos la ejecución del testamento de la difunta
