id,página,difunto/evento (probable),tipo,términos,voz,1ª persona,motivo clasif.,cita / contexto
187,228,(general / otros),ceremonia,difunto,diario,,cuerpo del diario,"En el año 1555 mi difunto padre, debido a sus enfermedades causadas por las constantes cargas, me requirió a su lado por lo que interrumpí mis estudios, pues debía aprender su trabajo mientras estuviera con"
188,228,(general / otros),ceremonia,"fallecimiento, honras",diario,,cuerpo del diario,"fallecimiento no honras justa y debidamente a tu madrastra, quizá hablaré"
189,229,(general / otros),ceremonia,difunto,diario,,cuerpo del diario,"A pesar de que si lo digo yo, su hijo, resulte dudoso, puedo afirmar, fundándome en la verdad, que mi difunto padre fue un hombre"
190,230,Carlos V,muerte,muerte,diario,,cuerpo del diario,Muerte de Carlos V
191,230,Carlos V,muerte,falleció,diario,,cuerpo del diario,Ese mismo año falleció en el mes de septiembre nuestro admirado
192,230,Emperador/triz (?),ceremonia,"exequias, luto",diario,,cuerpo del diario,"luto en nuestra corte, y sus exequias fueron celebradas magníficamente en Augsburgo por su hermano el Emperador Fernando, que le sucedió inmediatamente"
193,231,Felipe II (†1598),muerte,murió,aparato,,señal aparato: ags,Enrique II de Francia murió durante las fiestas por la firma de la paz de Cateau Cambresis y
194,231,Felipe II (†1598),muerte,muerte,aparato,,señal aparato: ags,"nueva de la muerte del Rey de Francia ha llegado aquí», escribe el conde de Luna desde Viena el"
195,231,Felipe II (†1598),ceremonia,pésame,aparato,,señal aparato: ags,pésame para insistir en la necesidad de la defensa del catolicismo en Francia
196,232,Carlos V,muerte,fallecido,diario,sí,cuerpo del diario,"clementísimo, hija de Carlos V y hermana de Felipe, había fallecido"
197,237,Felipe II (†1598),muerte,murió,diario,,cuerpo del diario,Murió
198,238,Archiduque/esa,muerte,muerte,diario,,cuerpo del diario,Muerte de un hijo de Bartolomé Khevenhüller
199,247,Emperador Maximiliano II (†1576),muerte,muerte,diario,,cuerpo del diario,Su muerte fue indigna de
200,250,Carlos V,muerte,muerte,diario,,cuerpo del diario,"Muerte del Emperador Fernando I de Austria, hijo de Felipe el Hermoso"
201,250,Carlos V,muerte,falleció,diario,,cuerpo del diario,"El 25 de julio de ese año, el día de Santiago, falleció cristianamente"
202,250,Archiduque/esa,muerte,muerte,diario,,cuerpo del diario,"[Maximiliano, por la muerte del padre]"
203,250,Emperador/triz (?),ceremonia,cadáver,diario,sí,cuerpo del diario,Traslación del cadáver a Praga
204,250,Emperador/triz (?),ceremonia,cadáver,diario,sí,cuerpo del diario,"abrió el cadáver, que fue al día siguiente"
205,250,Emperador/triz (?),muerte,falleció,diario,sí,cuerpo del diario,"Tan pronto falleció cristianamente el Emperador Fernando, S"
206,250,Emperador/triz (?),ceremonia,"exequias, muerte",diario,,cuerpo del diario,"Es curiosa la poca atención que presta Hans a la muerte y exequias de Fernando I, aun a"
